hotel name,hotel price,hotel score
Hotel In Need - Near to the US France Italy Saudi Embassy and Airport,US$400,6.0
Hotel Skylink,US$326,7.2
Hotel City International Residential,US$390,4.0
Hotel Labbaik Farmgate,US$328,8.5
Hotel White House International (Near Dhaka Medical),US$428,4.2
Hotel Labbaik Mohammadpur,US$335,4.6
Hotel Muna International 2nd Floor,US$323,5.7
Hotel De Meridian Ltd,US$546,5.1
Hotel Singapore Residence,US$425,N/A
Hotel Padma Dhaka,US$350,N/A
Hotel Grand Amir International,US$525,3.3
Taz Garden House,US$395,7.6
Hotel New Kalabgan Residential,US$400,7.5
Garden Residents Uttara - Lake View,US$660,7.1
The Shahin Residence - Mohakhali,US$570,7.5
