shop name,shop number
Laptop World BD,01861-999948
Laptop Station,01815-807070
FixIT,01930-800277
Laptop Villa,01710-528906
laptop mart,01787-895833
Kazi Technology,N/A
World Computer System,01618-927565
You Tech BD,01711-385849
SS Computer | Mirpur-10,01643-946107
Gamers Side,01515-298013
GAMO TECH,01618-216141
Laptop Point BD,N/A
Gadget BD 71,01711-070922
Laptop.Source,01724-406156
Takwoa Laptop Zone,01708-374850
Server Spare Parts,01716-093650
IT BD Shop,01710-913417
Computer Point,01911-266791
Planet it BD,01719-706250
Laptop Lounge,01631-898580
Maraya Global (Mirpur Branch),01606-590629
Green Technology,01315-090371
Laptop Territory,01779-811661
Upgrade Technology,01970-080148
Computer Castle,01726-300494
MC Solution BD ( Mirpur Branch ),01407-056597
Hk Technology,01765-576665
Apollo Gadget,01982-628412
21 Technology,01304-231600
Universe Computer Care,01934-386987
o2 Trade International,01681-939426
Abdullah Computer Science,01640-888882
Laptop House BD,01773-062835
Digital Computers,01711-066824
AR Computers,01631-003820
Faruk IT Solution,01995-758211
Mirpur Computer মিরপুর কম্পিউটার,01921-669268
SK Computer,01710-378513
Ridge Computer BD,01628-165623
R Computer Plus,01799-020349
SwiftCode IT Solution,01914-227711
An Noor IT Source,01978-855233
Quality Tech,01701-003371
1833 Tech BD,01711-355414
Zahid Associates,01638-792833
IT Shop,01872-176467
DS TECHNOLOGY,01712-191496
Master Tech BD,01750-885981
HR Computer,01989-599513
Excellent Technology BD,01913-004278
Dream Computer,01989-155427
BM Computers (Dhaka Outlet),01966-000225
Prime StarTechnology,01992-821423
R-One Computer(Mirpur-10),01631-003810
A to Z Technolgy,01617-083040
S. R. COMPUTER,01912-830736
Universe IT,N/A
Reliablebazar,01682-212191
Lucent Tech BD,01914-717349
A1 Computers,01911-707020
Smart Buy Laptops,01785-626326
TOTAL 360,01829-355555
Treematrik,01817-042433
UNIQUE COMPUTER SOLUTION,01673-378055
Remax Tech BD,01815-252545
Computonic Zone,01612-257425
Camera & Gadget Mirpur,01673-418186
Green Leaf Technology,01720-859850
Nixsoletech,01620-360090
22Teki IT Solution Center,01706-620007
Small Bridge,01705-059495
One Touch Plus,01611-067479
RARO Tech,01303-922737
R.M Computer,01820-529086
Adil Computer Corner,01818-069794
Zoom IT Solution,01768-482326
Easy & Efficient Solution,01611-863754
Islamic Computer,01672-470701
Cloud Technologies,01958-698800
Laptop World Zone,01686-129295
KAASHIF TECHNOLOGY,01935-814007
Sellve,01710-001735
Walton Mirpur 2,01796-500284
ডিজিটাল পয়েন্ট,01999-930014
Smart Computer & Cyber Cafe,01737-195422
Sujan Computer,01710-584218
Cox computer gateway,N/A
PC Tech,01822-695675
"Alif ICT, Alif Computer Training Center",01971-021985
Walton Plaza Mirpur-10,01678-048572
Robiul Electronics,01979-030221
Walton Plaza -Shagufta,01686-694282
Walton Mirpur 10,01676-005319
Hello Computer,01711-008698
Bismillah Photocopy & Stationary,01841-747910
ZooXon,01685-834202
(X-telecom)samsung authorized shop mirpur 10,01777-799297
Best Laptop,N/A
Daily Bazar Mirpur 11,01779-877683
Gadget & Gear (Mirpur 11),01322-883303
